Locale,Title,Short Description,Full Description
ja,"MihirakiPDFViewer - 見開き・右綴じ","右綴じ・見開きに特化したプライバシー重視のPDFビューア。Chromebook対応。","MihirakiPDFViewerは、日本特有の「右綴じ」や「見開き」ドキュメント（漫画、ライトノベル、専門書など）を快適に閲覧するために設計された、プライバシー重視のモダンなPDFビューアです。

主な機能：
■ 見開き表示（スプレッドビュー）：2ページを並べて大画面で楽しめます。
■ 右綴じ（R2L）完全対応：日本の書籍特有のページ順序をネイティブにサポート。
■ 自動レジューム：最後に読んでいたページからすぐに再開できます。
■ Chromebook対応：タブレットやChromebookの大画面でも快適な操作性。
■ プライバシー第一：PDF処理は完全にローカルで行われ、不要な通信は行いません。
■ 13言語対応：多言語インターフェースで世界中で利用可能。

スマートな検索機能やアダプティブなUIを備え、あなたの読書体験を次のレベルへ引き上げます。"
en-US,"MihirakiPDFViewer - Spread View","Privacy-focused PDF viewer for R2L & spread view. Chromebook support.","MihirakiPDFViewer is a modern, privacy-focused PDF viewer designed for comfortable reading of Right-to-Left (R2L) and spread-view documents like Manga and Light Novels.

Key Features:
■ Spread View: Enjoy two pages side-by-side on large screens.
■ Full R2L Support: Native support for right-to-left reading order.
■ Auto-Resume: Quickly resume from where you last left off.
■ Chromebook Support: Optimized for tablets and Chromebook large screens.
■ Privacy First: Local PDF processing with no unnecessary internet connection.
■ 13 Languages: Available worldwide with a multi-language interface.

Experience a superior reading flow with smart search and adaptive UI."
de-DE,"MihirakiPDFViewer - Doppelseite","Privatsphäre-fokussierter PDF-Viewer für R2L & Doppelseiten. Chromebook-Support.","MihirakiPDFViewer ist ein moderner, auf Privatsphäre ausgerichteter PDF-Viewer, der für das komfortable Lesen von rechts-nach-links (R2L) und Doppelseiten-Dokumenten wie Mangas entwickelt wurde.

Hauptmerkmale:
■ Doppelseitenansicht: Zwei Seiten nebeneinander auf großen Bildschirmen genießen.
■ Volle R2L-Unterstützung: Native Unterstützung für die Leserichtung von rechts nach links.
■ Auto-Fortsetzen: Setzen Sie das Lesen dort fort, wo Sie aufgehört haben.
■ Chromebook-Unterstützung: Optimiert für Tablets und Chromebooks.
■ Privatsphäre zuerst: Lokale PDF-Verarbeitung ohne unnötige Internetverbindung.
■ 13 Sprachen: Weltweit verfügbar mit mehrsprachiger Benutzeroberfläche."
es-ES,"MihirakiPDFViewer - Doble página","Visor PDF privado para R2L y vista de dos páginas. Soporte Chromebook.","MihirakiPDFViewer es un visor de PDF moderno centrado en la privacidad, diseñado para la lectura cómoda de documentos de derecha a izquierda (R2L) y en vista de dos páginas.

Características principales:
■ Vista de doble página: Disfrute de dos páginas lado a lado en pantallas grandes.
■ Soporte R2L completo: Compatibilidad nativa con el orden de lectura de derecha a izquierda.
■ Auto-reanudación: Continúe rápidamente desde donde lo dejó.
■ Soporte Chromebook: Optimizado para tabletas y pantallas grandes de Chromebook.
■ Privacidad ante todo: Procesamiento local de PDF sin conexiones innecesarias.
■ 13 idiomas: Disponible en todo el mundo con interfaz multilingüe."
fil,"MihirakiPDFViewer - Spread View","Privacy-focused na PDF viewer para sa R2L at spread view. May Chromebook support.","Ang MihirakiPDFViewer ay isang modernong PDF viewer na nakatuon sa privacy, na idinisenyo para sa kumportableng pagbabasa ng mga R2L (Right-to-Left) at spread-view na dokumento.

Mga Tampok:
■ Spread View: Mag-enjoy ng dalawang pahina nang magkatabi sa malalaking screen.
■ Full R2L Support: Native na suporta para sa pagkakasunud-sunod ng pagbasa mula kanan pakaliwa.
■ Auto-Resume: Mabilis na ituloy ang pagbabasa kung saan ka huling tumigil.
■ Chromebook Support: Optimized para sa mga tablet at malalaking screen ng Chromebook.
■ Privacy First: Lokal na pagproseso ng PDF nang walang hindi kinakailangang koneksyon sa internet.
■ 13 Wika: Magagamit sa buong mundo gamit ang multi-language interface."
fr-FR,"MihirakiPDFViewer - Double page","Lecteur PDF privé pour R2L et vue double page. Support Chromebook.","MihirakiPDFViewer est un lecteur PDF moderne axé sur la confidentialité, conçu pour une lecture confortable des documents de droite à gauche (R2L) et en double page.

Caractéristiques principales :
■ Vue double page : Profitez de deux pages côte à côte sur de grands écrans.
■ Support R2L complet : Prise en charge native de l'ordre de lecture de droite à gauche.
■ Reprise automatique : Reprenez rapidement là où vous vous étiez arrêté.
■ Support Chromebook : Optimisé pour les tablettes et les grands écrans Chromebook.
■ Priorité à la vie privée : Traitement local des PDF sans connexion internet inutile.
■ 13 langues : Disponible dans le monde entier avec une interface multilingue."
id,"MihirakiPDFViewer - Spread View","Pembaca PDF fokus privasi untuk tampilan R2L & spread. Dukungan Chromebook.","MihirakiPDFViewer adalah pembaca PDF modern yang fokus pada privasi, dirancang untuk kenyamanan membaca dokumen R2L (Kanan-ke-Kiri) and tampilan spread seperti Manga.

Fitur Utama:
■ Tampilan Spread: Nikmati dua halaman berdampingan di layar lebar.
■ Dukungan R2L Penuh: Dukungan asli untuk urutan membaca dari kanan ke kiri.
■ Auto-Resume: Melanjutkan membaca dengan cepat dari tempat terakhir Anda berhenti.
■ Dukungan Chromebook: Dioptimalkan untuk tablet dan layar lebar Chromebook.
■ Privasi Utama: Pemrosesan PDF lokal tanpa koneksi internet yang tidak perlu.
■ 13 Bahasa: Tersedia di seluruh dunia dengan antarmuka multi-bahasa."
ne,"MihirakiPDFViewer - Spread View","R2L र स्प्रेड भ्यूका लागि गोपनीयता-केन्द्रित PDF भ्यूअर। क्रोमबुक समर्थन।","MihirakiPDFViewer एक आधुनिक, गोपनीयता-केन्द्रित PDF भ्यूअर हो, जुन दायाँ-बाट-बायाँ (R2L) र स्प्रेड-भ्यूका कागजातहरू पढ्नका लागि डिजाइन गरिएको हो।

मुख्य विशेषताहरू:
■ स्प्रेड भ्यू: ठूला स्क्रिनहरूमा दुईवटा पानाहरू सँगै राखेर आनन्द लिनुहोस्।
■ पूर्ण R2L समर्थन: दायाँ-बाट-बायाँ पढ्ने क्रमको लागि नेटिभ समर्थन।
■ अटो-रिज्युम: तपाईंले जहाँ छोड्नुभएको थियो त्यहीँबाट छिटो सुरु गर्नुहोस्।
■ क्रोमबुक समर्थन: ट्याब्लेट र क्रोमबुकका ठूला स्क्रिनहरूका लागि अनुकूलित।
■ गोपनीयता पहिलो: अनावश्यक इन्टरनेट जडान बिना स्थानीय PDF प्रशोधन।
■ १३ भाषाहरू: बहु-भाषी इन्टरफेसको साथ विश्वव्यापी रूपमा उपलब्ध छ।"
pt-BR,"MihirakiPDFViewer - Páginas duplas","Leitor PDF privado para R2L e visão dupla. Suporte para Chromebook.","MihirakiPDFViewer é um leitor de PDF moderno e focado na privacidade, projetado para a leitura confortável de documentos da direita para a esquerda (R2L) e visão dupla.

Recursos Principais:
■ Visão Dupla: Aproveite duas páginas lado a lado em telas grandes.
■ Suporte R2L Completo: Suporte nativo para a ordem de leitura da direita para a esquerda.
■ Retomada Automática: Continue rapidamente de onde você parou.
■ Suporte para Chromebook: Otimizado para tablets e telas grandes de Chromebook.
■ Privacidade em Primeiro Lugar: Processamento local de PDF sem conexões desnecessárias.
■ 13 Idiomas: Disponível mundialmente com interface multilíngue."
vi,"MihirakiPDFViewer - Xem 2 trang","Trình xem PDF bảo mật cho chế độ xem R2L & hai trang. Hỗ trợ Chromebook.","MihirakiPDFViewer là trình xem PDF hiện đại, tập trung vào quyền riêng tư, được thiết kế để đọc thoải mái các tài liệu từ phải sang trái (R2L) và chế độ xem hai trang.

Tính năng chính:
■ Chế độ xem hai trang: Thưởng thức hai trang cạnh nhau trên màn hình lớn.
■ Hỗ trợ R2L đầy đủ: Hỗ trợ gốc cho thứ tự đọc từ phải sang trái.
■ Tự động tiếp tục: Nhanh chóng tiếp tục từ nơi bạn đã dừng lại.
■ Hỗ trợ Chromebook: Được tối ưu hóa cho máy tính bảng và màn hình lớn Chromebook.
■ Quyền riêng tư là trên hết: Xử lý PDF cục bộ không cần kết nối internet.
■ 13 ngôn ngữ: Có sẵn trên toàn thế giới với giao diện đa ngôn ngữ."
zh-CN,"MihirakiPDFViewer - 双页显示","专注于隐私的R2L和双页PDF阅读器。支持Chromebook。","MihirakiPDFViewer 是一款现代且注重隐私的 PDF 阅读器，专为舒适阅读从右至左 (R2L) 和双页视图文档（如漫画和轻小说）而设计。

主要功能：
■ 双页视图：在大屏幕上并排享受两个页面。
■ 完整 R2L 支持：原生支持从右至左的阅读顺序。
■ 自动续读：从上次离开的地方快速继续阅读。
■ Chromebook 支持：针对平板电脑和 Chromebook 大屏幕进行了优化。
■ 隐私至上：本地 PDF 处理，无需不必要的互联网连接。
■ 13 种语言：提供多语言界面，全球适用。

智能搜索和自适应 UI 为您带来卓越的阅读体验。"
zh-TW,"MihirakiPDFViewer - 見開き・右綴じ","專注於隱私的R2L和雙頁PDF閱讀器。支持Chromebook。","MihirakiPDFViewer 是一款現代且注重隱私的 PDF 閱讀器，專為舒適閱讀從右至左 (R2L) 和雙頁視圖文檔（如漫畫和輕小說）而設計。

主要功能：
■ 雙頁視圖：在大屏幕上並排享受兩個頁面。
■ 完整 R2L 支持：原生支持從右至左的閱讀順序。
■ 自動續讀：從上次離開的地方快速繼續閱讀。
■ Chromebook 支持：針對平板電腦和 Chromebook 大屏幕進行了優化。
■ 隱私至上：本地 PDF 處理，無需不必要的互聯網連接。
■ 13 種語言：提供多語言界面，全球適用。

智能搜索和自適應 UI 為您帶來卓越的閱讀體驗。"
ko-KR,"MihirakiPDFViewer - 맞쪽 보기","R2L 및 펼쳐보기에 최적화된 프라이버시 중심 PDF 뷰어. 크롬북 지원.","MihirakiPDFViewer는 만화나 라이트 노벨과 같은 오른쪽에서 왼쪽으로 읽는(R2L) 문서와 펼쳐보기 문서를 쾌적하게 열람할 수 있도록 설계된 프라이버시 중심의 현대적인 PDF 뷰어입니다.

주요 기능:
■ 펼쳐보기(스프레드 뷰): 대화면에서 두 페이지를 나란히 즐길 수 있습니다.
■ 완전한 R2L 지원: 오른쪽에서 왼쪽으로 읽는 순서를 네이티브로 지원합니다.
■ 자동 재개: 마지막으로 읽던 페이지부터 바로 시작할 수 있습니다.
■ 크롬북 지원: 태블릿 및 크롬북 대화면에 최적화된 조작성.
■ 프라이버시 우선: 불필요한 통신 없이 로컬에서 PDF를 처리합니다.
■ 13개 언어 지원: 다국어 인터페이스로 전 세계에서 이용 가능합니다."
